Data,Descrição,Entrada de Dinheiro (R$),Entrada de bônus (R$),Saída de Dinheiro (R$),Saída de bônus (R$),Saldos em Dinheiro (R$)
07-abr-26 22:58:08,"Barcelona (ECU) x Cruzeiro / Mais/Menos de 1,5 Gols Ref: 17756134871333",371.83,--,--,--,"23,985.39"
07-abr-26 19:49:02,"Independiente Rivadavia x Bolivar / 1,5 gols no primeiro tempo Ref: 17756021421332",562.92,--,--,--,"23,613.56"
07-abr-26 17:54:31,"Real Madrid x Bayern de Munique / Mais/Menos de 3,5 Gols Ref: 17755952721331",491.46,--,--,--,"23,050.64"
06-abr-26 20:55:34,"Argentinos Juniors x Banfield / Mais/Menos de 5,5 Gols Ref: 17755197341330",327.64,--,--,--,"22,559.18"
06-abr-26 17:29:58,"Sporting de Gijón x Sociedad B / Mais/Menos de 1,5 Gols Ref: 17755073981329",496.10,--,--,--,"22,231.54"
06-abr-26 16:55:58,"Jong PSV Eindhoven x VVV-Venlo / Mais/Menos de 1,5 Gols Ref: 17755053581328",331.05,--,--,--,"21,735.44"
06-abr-26 16:01:30,"Castellón x Granada / Mais/Menos de 5,5 Gols Ref: 17755020901327",587.50,--,--,--,"21,404.39"
06-abr-26 15:28:49,"Gent x Yellow-Red Mechelen / Mais/Menos de 1,5 Gols Ref: 17755001291326",--,--,-600.00,--,"20,816.89"
06-abr-26 12:59:31,"Ipswich x Birmingham / Mais/Menos de 3,5 Gols Ref: 17754911711325",429.32,--,--,--,"21,416.89"
06-abr-26 12:32:41,"Roda JC x Willem II / 1,5 gols no primeiro tempo Ref: 17754895601324",429.79,--,--,--,"20,987.57"
06-abr-26 11:29:07,"Valerenga x Viking / Mais/Menos de 1,5 Gols Ref: 17754857461323",609.86,--,--,--,"20,557.78"
06-abr-26 10:55:21,"Millwall x Norwich / Mais/Menos de 3,5 Gols Ref: 17754837211322",457.57,--,--,--,"19,947.92"
06-abr-26 10:47:20,"Hacken x Brommapojkarna / Mais/Menos de 3,5 Gols Ref: 17754832471321",--,--,-600.00,--,"19,490.35"
05-abr-26 21:59:43,"Mirassol x Red Bull Bragantino / Mais/Menos de 1,5 Gols Ref: 17754371831320",531.26,--,--,--,"20,090.35"
05-abr-26 21:22:53,"Botafogo-SP x São Bernardo / 1,5 gols no primeiro tempo Ref: 17754349721319",434.97,--,--,--,"19,559.09"
05-abr-26 21:15:12,"Pacific x Cavalry / Mais/Menos de 3,5 Gols Ref: 17754345121318",423.91,--,--,--,"19,124.12"
05-abr-26 21:10:36,"Central Cordoba (SdE) x Newells / 1,5 gols no primeiro tempo Ref: 17754342361317",--,--,-600.00,--,"18,700.21"
05-abr-26 21:01:20,"Volta Redonda x Paysandu / Mais/Menos de 1,5 Gols Ref: 17754336791316",296.62,--,--,--,"19,300.21"
05-abr-26 20:53:35,"Universidad De Chile x La Serena / Mais/Menos de 3,5 Gols Ref: 17754332141315",--,--,-600.00,--,"19,003.59"
05-abr-26 20:14:37,"Bahia x Palmeiras / 0,5 gols no primeiro tempo Ref: 17754308761314",--,--,-600.00,--,"19,603.59"
05-abr-26 19:56:48,"Novorizontino x CRB / Mais/Menos de 1,5 Gols Ref: 17754298081313",--,--,-600.00,--,"20,203.59"
05-abr-26 19:25:48,"Estudiantes de Merida x Portuguesa / Mais/Menos de 1,5 Gols Ref: 17754279471312",--,--,-600.00,--,"20,803.59"
05-abr-26 19:22:12,"Flamengo x Santos / Mais/Menos de 3,5 Gols Ref: 17754277321311",--,--,-600.00,--,"21,403.59"
05-abr-26 19:11:23,"Atlético-MG x Athletico-PR / Mais/Menos de 1,5 Gols Ref: 17754270821310",--,--,-500.00,--,"22,003.59"
05-abr-26 18:30:46,"Deportes Concepcion x Colo Colo / Mais/Menos de 1,5 Gols Ref: 17754246471309",384.13,--,--,--,"22,503.59"
05-abr-26 17:58:13,"Zaragoza x Mirandes / Mais/Menos de 3,5 Gols Ref: 17754226931308",577.47,--,--,--,"22,119.46"
05-abr-26 17:42:32,"Monaco x Olympique de Marselha / Mais/Menos de 3,5 Gols Ref: 17754217521307",321.99,--,--,--,"21,541.99"
05-abr-26 17:30:48,"Monaco x Olympique de Marselha / Mais/Menos de 2,5 Gols Ref: 17754210481306",--,--,-600.00,--,"21,220.00"
05-abr-26 17:05:13,"Olympiakos x AEK Athens / Mais/Menos de 1,5 Gols Ref: 17754195131305",409.91,--,--,--,"21,820.00"
05-abr-26 16:48:17,"Alavés x Osasuna / 1,5 gols no primeiro tempo Ref: 17754184961304",--,--,-600.00,--,"21,410.09"
05-abr-26 16:28:08,"Inter de Milão x Roma / 1,5 gols no primeiro tempo Ref: 17754172871303",--,--,-580.00,--,"22,010.09"
05-abr-26 15:28:33,"Las Palmas x Huesca / Mais/Menos de 3,5 Gols Ref: 17754137121302",376.34,--,--,--,"22,590.09"
05-abr-26 15:21:20,"Palermo x Calcio Avellino / 1,5 gols no primeiro tempo Ref: 17754132801301",378.48,--,--,--,"22,213.75"
05-abr-26 14:18:00,"Al Ain x Ajman Club / 1,5 gols no primeiro tempo Ref: 17754094791300",384.13,--,--,--,"21,835.27"
05-abr-26 13:30:31,"Farul Constanta x Unirea Slobozia / Mais/Menos de 1,5 Gols Ref: 17754066301299",788.45,--,--,--,"21,451.14"
05-abr-26 13:20:57,"West Ham x Leeds / 1,5 gols no primeiro tempo Ref: 17754060571298",395.43,--,--,--,"20,662.69"
05-abr-26 13:17:05,"Dundee x Celtic / 1,5 gols no primeiro tempo Ref: 17754058241297",432.76,--,--,--,"20,267.26"
05-abr-26 13:01:24,"Valencia x Celta de Vigo / Mais/Menos de 3,5 Gols Ref: 17754048831296",--,--,-600.00,--,"19,834.50"
05-abr-26 12:48:27,"Rapid Vienna x Sturm Graz / 1,5 gols no primeiro tempo Ref: 17754041071295",289.35,--,--,--,"20,434.50"
05-abr-26 11:50:23,"Cremonese x Bologna / Mais/Menos de 2,5 Gols Ref: 17754006221294",--,--,-600.00,--,"20,145.15"
05-abr-26 11:27:09,"Hartberg x Red Bull Salzburg / Mais/Menos de 3,5 Gols Ref: 17753992291293",502.76,--,--,--,"20,745.15"
05-abr-26 11:04:37,"Banik Ostrava x Slavia Praga / 1,5 gols no primeiro tempo Ref: 17753978771292",--,--,-600.00,--,"20,242.39"
05-abr-26 10:54:02,"Kalmar FF x Vasteras SK / Mais/Menos de 1,5 Gols Ref: 17753972421291",435.42,--,--,--,"20,842.39"
05-abr-26 10:50:28,"Getafe x Athletic de Bilbao / Mais/Menos de 1,5 Gols Ref: 17753970281290",--,--,-600.00,--,"20,406.97"
05-abr-26 10:15:41,Deposit Ref: 17753949401289,"2,750.00",--,--,--,"21,006.97"
05-abr-26 10:15:35,"Greuther Furth x Paderborn / Mais/Menos de 1,5 Gols Ref: 17753949351288",--,--,-600.00,--,"18,256.97"
05-abr-26 09:17:18,"Hannover x Elversberg / 1,5 gols no primeiro tempo Ref: 17753914381287",553.66,--,--,--,"18,856.97"
05-abr-26 08:39:02,"Shenzhen Peng City x Wuhan Three Towns / 1,5 gols no primeiro tempo Ref: 17753891421286",--,--,-600.00,--,"18,303.31"
04-abr-26 22:59:26,"Rosario Central x Atl Tucuman / Mais/Menos de 3,5 Gols Ref: 17753543661285",338.94,--,--,--,"18,903.31"
04-abr-26 22:58:46,"Leon x Atlas / 1,5 gols no primeiro tempo Ref: 17753543261284",367.18,--,--,--,"18,564.37"
04-abr-26 22:18:24,"Charlotte FC x Philadelphia / Mais/Menos de 1,5 Gols Ref: 17753519041283",--,--,-600.00,--,"18,197.19"
